"","recipient","removal_rate","partners","acts_per_day","transmission_risk_per_act","transmission_risk_per_day","source","infectionTime","sampleTime","cumulative_partners","cumulative_transmissions"
"155",155,5e-04,0,0.40355088027066,0.0461246173785582,0,150,230,595,0,0
"156",156,5e-04,5,0.05332153704611,0.0289116285406364,0.00779117425748432,65,231,596,0,0
"157",157,5e-04,1,0.00293405296573649,0.0345717131087147,0.000103224793878587,151,231,596,0,0
"158",158,5e-04,0,0.316286081462971,0.0347759915076519,0,151,232,597,0,0
"159",159,5e-04,2,0.103306906310665,0.0456275267058373,0.0096027200014982,53,233,598,0,0
"160",160,5e-04,1,0.441494113367922,0.0428683916653707,0.0191578981951296,86,233,598,0,0
"161",161,5e-04,0,0.0797394265886396,0.0369405116855216,0,39,234,599,0,0
"162",162,5e-04,0,0.149497881252319,0.0384056960933168,0,112,234,599,0,0
"163",163,5e-04,1,0.23834163666584,0.044806210884059,0.0108663580769387,29,235,600,0,0
"164",164,5e-04,0,0.35098548362634,0.0383493718734851,0,123,235,600,0,0
"165",165,5e-04,0,0.292470278030006,0.0415728900672522,0,23,236,601,0,0
"166",166,5e-04,0,0.430690414060779,0.0448604904902337,0,74,236,601,0,0
"167",167,5e-04,0,0.913832056516947,0.0447034176703387,0,74,237,602,0,0
"168",168,5e-04,0,0.332007072040893,0.0339187293344451,0,112,237,602,0,0
"169",169,5e-04,0,0.0351602983195335,0.0406621438854374,0,123,237,602,0,0
"170",170,5e-04,0,0.439244378705449,0.0367728070587277,0,151,237,602,0,0
"171",171,5e-04,0,0.0117422294591557,0.0441531857630357,0,163,237,602,0,0
"172",172,5e-04,2,0.391964086877618,0.0450990760798933,0.0355299246033014,80,238,603,0,0
"173",173,5e-04,0,0.00277503025147359,0.0423439997126112,0,93,238,603,0,0
"174",174,5e-04,2,0.703685073454372,0.0441634397357842,0.0615902362126973,23,239,604,0,0
"175",175,5e-04,1,0.202059045340866,0.0346520698776573,0.00710062496389152,92,239,604,0,0
"176",176,5e-04,0,0.129699289655437,0.0401078071430247,0,40,240,605,0,0
"177",177,5e-04,0,0.345391988462273,0.0454348777965752,0,43,240,605,0,0
"178",178,5e-04,2,0.135799941793084,0.0409137497417146,0.0112817651477725,105,240,605,0,0
"179",179,5e-04,1,0.0126651062956828,0.0381445652535236,0.000492438821926067,132,240,605,0,0
"180",180,5e-04,0,0.689857046041823,0.0472536714578121,0,141,240,605,0,0
"181",181,5e-04,0,0.0676360946408724,0.0443066382771635,0,151,240,605,0,0
"182",182,5e-04,2,0.0740926800377616,0.0386651718835567,0.00582628233837401,154,240,605,0,0
